# BEAST v10.5.0
# Generated Sat May 23 16:56:28 CEST 2026 [seed=1779548169413]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2187357.6032346855	-2051534.819420195	-135822.78381449071	903.0630136986301	1120.5342465753424	44136.79178082187	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.0010000000000000022	-135822.78381449071	0.0	-2051486.3178082167
1000	-127314.08211068183	-5820.463430364092	-121493.61868031774	163.33102139310984	1860.2662388808626	7875.917246992784	31.95098356237723	-0.20521238054682223	1.2032206542595376	0.2535556676688872	0.24795055140646743	0.2500000001	0.24849378082464532	0.2986248697188903	9.614023819207969E-4	9.614023819207984E-4	-121493.61868031774	0.0	-5804.919357118128
2000	-118923.73306918431	-2212.8751761480657	-116710.85789303624	84.20759808566777	1939.3896621883048	4116.105520986157	465.7566837483637	-0.11804984679203567	0.9772526875866011	0.2484811823638136	0.25302503671154103	0.24921001683987692	0.2492837640847684	0.3665177511358659	4.4171848684784146E-4	4.417184868478412E-4	-116710.85789303624	0.0	-2199.989443920844
3000	-116048.02139099431	-1671.3922954806112	-114376.62909551371	37.513741644186034	1986.0835186297866	1834.0121494079744	441.9459352991919	0.04745716067417294	1.0030299017443811	0.24850982433600377	0.2453975270365071	0.25415468705409844	0.25193796157339066	0.4224352385353973	6.98975857014122E-4	6.989758570141222E-4	-114376.62909551371	0.0	-1658.3650193014068
4000	-114638.55524321548	-1792.9159219669143	-112845.63932124857	61.548943399730746	1962.048316874242	3062.7840157566666	1003.6951421335343	0.0448615382439328	1.0046405134452439	0.24857251805038597	0.24240384914293528	0.25415468705409844	0.2548689457525803	0.42029618274657965	3.8771997847521396E-4	3.877199784752139E-4	-112845.63932124857	0.0	-1779.1566865465923
5000	-113793.36063549329	-1848.5576074878784	-111944.80302800541	74.98931654406205	1948.6079437299104	3758.2057954312595	1174.7499801613096	0.0448615382439328	1.0200942828413193	0.24624129255040375	0.24714092999366047	0.25174883170335544	0.2548689457525803	0.44895351808024697	3.137855185164619E-4	3.137855185164614E-4	-111944.80302800541	0.0	-1834.6235051298356
6000	-113336.51365795483	-1824.6218687029375	-111511.8917892519	67.88002703261836	1955.7172332413543	3396.9343356777454	1249.063410478923	0.0448615382439328	0.9734303792451814	0.24802874367395014	0.24069226616512082	0.25174883170335544	0.2595301584575735	0.4422750542798046	3.419474214107312E-4	3.4194742141073194E-4	-111511.8917892519	0.0	-1810.5064735988742
7000	-112783.19857787414	-1877.6636592063846	-110905.53491866775	81.91605774222501	1941.6812025317477	4246.646672222221	1948.15987838753	0.044924238889700874	1.0226583737492936	0.24802874367395014	0.2470683557100122	0.25174883170335544	0.2531540689126821	0.4422750542798046	2.7624506489490677E-4	2.76245064894907E-4	-110905.53491866775	0.0	-1862.5942014276943
8000	-112431.80426653843	-1909.2683521407498	-110522.53591439768	93.23797985219619	1930.3592804217765	4859.329082136844	2061.8521016270397	0.044924238889700874	1.0086752615301067	0.24617215797739295	0.24794496015097134	0.2527384983010671	0.2531443835705685	0.4327272990805735	2.4020534703725373E-4	2.40205347037254E-4	-110522.53591439768	0.0	-1894.1958889308487
9000	-112030.17652586235	-1908.4376247470425	-110121.73890111531	91.17138428124098	1932.4258759927316	4850.055531249454	2210.1860969927798	0.044924238889700874	1.0063595597304928	0.24617215797739295	0.2511716347894575	0.2527384983010671	0.24991770893208234	0.42765356016646755	2.4097236819035458E-4	2.4097236819035448E-4	-110121.73890111531	0.0	-1893.1543691767604
10000	-111849.89844810175	-1944.4182690950727	-109905.48017900668	106.86702170591276	1916.7302385680598	5681.604584146655	3038.8359917004886	0.044924238889700874	1.0063595597304928	0.24617215797739295	0.2511716347894575	0.25170125854959075	0.2509549486835587	0.4394033799167941	2.0589921238742934E-4	2.0589921238742975E-4	-109905.48017900668	0.0	-1928.121445530156
11000	-111540.53083443853	-1923.2818730050753	-109617.24896143345	98.33583004367166	1925.261430230301	5165.202373741958	2817.312188389775	0.044924238889700874	1.0063595597304928	0.24617215797739295	0.24908011257693452	0.2490851107040909	0.2556626187415815	0.44440362970007646	2.2293177516130886E-4	2.2293177516130935E-4	-109617.24896143345	0.0	-1907.2031542655873
12000	-111380.30876301018	-1943.4511814135326	-109436.85758159665	104.67975351545498	1918.9175067585177	5701.911600315996	3115.9369923116333	0.044924238889700874	1.039507676576571	0.2488560170203516	0.24908011257693452	0.24640125166113225	0.2556626187415815	0.45307193573931603	2.0192874118654642E-4	2.0192874118654655E-4	-109436.85758159665	0.0	-1927.0427329898764
13000	-111188.07274387061	-1950.4238716942039	-109237.6488721764	106.58240248774158	1917.014857786231	5857.980085953364	2906.287821891855	0.044924238889700874	1.0401964880124819	0.2488560170203516	0.24908011257693452	0.24640125166113225	0.2556626187415815	0.45307193573931603	1.962735212584081E-4	1.9627352125840806E-4	-109237.6488721764	0.0	-1934.3237190214604
14000	-111063.21478796605	-1974.3020547167034	-109088.91273324935	118.1649665655888	1905.4322937083837	6547.291388434979	3603.3202821908526	0.044924238889700874	1.0299700905632554	0.2530615542416044	0.24908011257693452	0.24895644957196642	0.24890188360949453	0.4331902287923645	1.7335463424489713E-4	1.7335463424489716E-4	-109088.91273324935	0.0	-1957.4661148334171
15000	-110912.17035858179	-1978.8768142050337	-108933.29354437675	120.73681481612375	1902.8604454578488	6729.127219597667	4164.096059162088	0.044924238889700874	1.0299700905632554	0.24589026133319244	0.24933520202097675	0.2528299601686979	0.2519445764771328	0.46171028262322805	1.6984621739229018E-4	1.6984621739229018E-4	-108933.29354437675	0.0	-1961.2945660793696
16000	-110794.21710017511	-1983.8081171031954	-108810.40898307192	123.48893583250909	1900.1083244414635	6869.733150122881	4421.650990881691	0.044924238889700874	1.0299700905632554	0.2424790840556813	0.2465454810534527	0.25639263451369726	0.2545828003771687	0.45482702608214975	1.6664706177131137E-4	1.666470617713114E-4	-108810.40898307192	0.0	-1965.9400701301224
