traits	state
H-3	LAO
H-4	CHN
H-6	VNM
H-9	THA
H-11	LAO
H-13	KHM
H-14	KHM
H-15	VNM
H-16	LAO
H-17	VNM
H-23	KHM
H-24	KHM
H-26	VNM
H-29	VNM
H-32	KHM
H-38	KHM
H-41	VNM
H-42	VNM
H-43	KHM
H-46	THA
H-47	CHN
H-48	KHM
H-49	VNM
H-52	VNM
H-55	KHM
H-56	VNM
H-57	KHM
H-59	VNM
H-60	CHN
H-61	THA
H-62	CHN
H-64	KHM
H-65	KHM
H-66	THA
H-67	KHM
H-68	VNM
H-72	THA
H-75	LAO
H-77	VNM
H-80	KHM
H-81	CHN
H-82	VNM
H-85	VNM
H-88	KHM
H-100	CHN
H-101	THA
H-91	VNM
H-94	LAO
H-98	VNM
H-104	CHN
H-106	VNM
H-107	KHM
H-108	KHM
H-109	CHN
H-111	VNM
H-112	VNM
H-113	VNM
H-116	VNM
H-117	VNM
H-118	KHM
H-120	KHM
H-121	VNM
H-124	CHN
H-125	CHN
H-126	VNM
H-128	THA
H-129	CHN
H-130	CHN
H-132	VNM
H-133	KHM
H-134	VNM
H-136	KHM
H-137	CHN
H-140	VNM
H-142	CHN
H-145	CHN
H-146	KHM
H-148	VNM
H-151	VNM
H-152	THA
H-155	KHM
H-156	THA
H-157	VNM
H-158	KHM
H-159	THA
H-160	CHN
H-163	VNM
H-164	VNM
H-165	VNM
H-166	VNM
H-168	KHM
H-169	KHM
H-171	THA
H-173	KHM
H-176	VNM
H-177	VNM
H-178	VNM
H-180	LAO
H-181	KHM
H-182	VNM
H-183	KHM
H-184	THA
H-185	VNM
H-190	KHM
H-191	VNM
H-192	VNM
H-193	THA
H-195	CHN
H-197	KHM
H-198	KHM
H-200	VNM
H-202	KHM
H-203	VNM
H-205	KHM
H-207	CHN
H-208	KHM
H-209	KHM
H-210	VNM
H-211	KHM
H-212	KHM
H-213	VNM
H-215	VNM
H-217	VNM
H-219	VNM
H-220	KHM
H-223	VNM
H-224	VNM
H-226	VNM
H-228	VNM
H-229	THA
H-231	VNM
H-233	LAO
H-234	THA
H-235	VNM
H-236	CHN
H-237	VNM
H-238	VNM
H-239	KHM
H-240	KHM
H-242	VNM
H-243	THA
H-245	CHN
H-246	CHN
H-248	LAO
H-249	KHM
H-252	KHM
H-253	VNM
H-256	VNM
H-259	KHM
H-263	KHM
H-265	LAO
H-266	VNM
H-267	THA
H-268	VNM
H-269	CHN
H-270	CHN
H-271	VNM
H-273	KHM
H-275	VNM
H-277	CHN
H-278	VNM
H-279	VNM
H-281	KHM
H-282	VNM
H-283	VNM
H-284	VNM
H-285	VNM
H-287	VNM
H-288	CHN
H-293	KHM
H-294	VNM
H-297	VNM
H-299	VNM
H-301	KHM
H-303	KHM
H-304	VNM
H-305	VNM
H-306	KHM
H-307	THA
H-309	CHN
H-310	KHM
H-314	LAO
H-317	VNM
H-318	VNM
H-319	KHM
H-320	VNM
H-322	CHN
H-324	VNM
H-327	CHN
H-328	VNM
H-329	THA
H-332	VNM
H-333	CHN
H-338	VNM
H-339	VNM
H-342	CHN
H-343	LAO
H-345	KHM
H-347	CHN
H-349	KHM
H-352	THA
H-353	KHM
H-354	LAO
H-358	VNM
H-360	CHN
H-366	VNM
H-370	LAO
H-374	THA
H-375	VNM
H-379	VNM
H-384	VNM
H-385	LAO
H-386	THA
H-387	KHM
H-389	KHM
H-392	VNM
H-393	KHM
H-396	VNM
H-412	KHM
H-417	VNM
H-419	VNM
H-420	VNM
H-422	KHM
H-423	KHM
H-426	VNM
H-428	KHM
H-430	VNM
H-434	VNM
H-437	KHM
H-445	THA
H-447	CHN
H-449	THA
H-472	KHM
H-477	KHM
H-478	KHM
H-481	THA
H-489	VNM
H-490	VNM
H-501	VNM
H-514	KHM
H-534	KHM
H-564	CHN
